City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Asau,RO,67.12,few clouds,46.4333,26.4,Casa Mika Ciobanus
392,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
393,Lethem,GY,76.8,few clouds,3.3803,-59.7968,Savannah Inn
394,Jacareacanga,BR,83.25,broken clouds,-6.2222,-57.7528,Casa do Ian😎
395,Gambela,ET,70.3,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
396,Esmeraldas,BR,70.84,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
397,Vilhena,BR,80.82,clear sky,-12.7406,-60.1458,Hotel Mirage
398,Tual,ID,79.88,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
405,Saint-Augustin,CA,67.05,overcast clouds,51.226,-58.6502,
406,Tila,MX,87.73,broken clouds,17.4,-92.4833,
407,Vanimo,PG,80.65,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
411,Araouane,ML,74.77,overcast clouds,18.9048,-3.5265,
412,Labuhan,ID,77.04,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
413,Misratah,LY,81.93,clear sky,32.3754,15.0925,فندق الماسة
417,Erenhot,CN,69.46,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
421,Benjamin Constant,BR,84.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
422,Akdepe,TM,66.29,clear sky,42.0551,59.3788,Мой дом
424,Bowen,AU,68.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
426,Palmeiras De Goias,BR,79.65,few clouds,-16.805,-49.9258,Hotel Água Virada
427,Jertih,MY,75.07,scattered clouds,5.7336,102.4897,One Utama Hotel
429,Copacabana,CO,68.43,overcast clouds,6.3463,-75.5089,Hospedaje Brazil
435,Zhengjiatun,CN,66.94,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
436,Marzuq,YE,86.29,overcast clouds,14.4,46.4667,
437,Kazanka,UA,66.51,clear sky,47.8462,32.8218,Готель
439,Mandera,KE,74.86,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
440,Port Blair,IN,78.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
442,Brigantine,US,77.32,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
448,Wahpeton,US,87.62,few clouds,46.2652,-96.6059,Select Inn Breckenridge
449,Wanning,CN,80.91,clear sky,18.8003,110.3967,Paradise Hotel
450,Alindao,CF,69.84,broken clouds,5.0267,21.2088,OCHA Alindao
451,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
454,Matara,LK,76.5,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
455,Puerto Baquerizo Moreno,EC,69.19,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
