City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
144,Cape Town,ZA,-33.9258,18.4232,56.12,87,0,3.44,clear sky,0.0,0
145,Tecpan,GT,14.7623,-90.9947,59.76,93,99,2.06,overcast clouds,0.0,0
146,Faro,PT,37.0194,-7.9322,83.98,45,0,4.61,clear sky,0.0,0
147,Havelock,US,34.8791,-76.9013,85.95,84,97,5.88,overcast clouds,0.0,0
148,Meulaboh,ID,4.1363,96.1285,75.74,88,100,9.35,moderate rain,1.33,0
149,Muyezerskiy,RU,63.9333,31.65,51.08,98,88,5.44,overcast clouds,0.0,0
150,Upernavik,GL,72.7868,-56.1549,43.25,95,100,7.34,light rain,0.66,0
151,The Pas,CA,53.8251,-101.2541,80.62,34,1,8.1,clear sky,0.0,0
152,Lindsay,US,36.203,-119.0882,105.01,22,1,9.22,clear sky,0.0,0
153,Lipin Bor,RU,60.2622,37.9763,56.21,92,77,11.97,broken clouds,0.0,0
154,Vila,PT,42.0304,-8.1588,58.69,74,0,5.61,clear sky,0.0,0
155,Burlington,US,39.8835,-74.6413,82.47,66,20,3.0,few clouds,0.0,0
156,Ambon,ID,-3.6954,128.1814,77.14,100,40,4.61,light rain,1.0,0
157,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,6.91,clear sky,0.0,0
158,Tasiilaq,GL,65.6145,-37.6368,48.36,70,89,0.89,overcast clouds,0.0,0
159,Omboue,GA,-1.5746,9.2618,74.95,86,86,7.96,overcast clouds,0.0,0
160,Lata,PT,40.1629,-8.3327,62.82,96,2,0.78,clear sky,0.0,0
161,Hobart,AU,-42.8794,147.3294,44.06,85,75,5.01,shower rain,0.12,0
162,Yar-Sale,RU,66.8333,70.8333,46.76,83,89,8.01,overcast clouds,0.0,0
163,Ornskoldsvik,SE,63.2909,18.7153,52.75,100,90,3.44,overcast clouds,0.0,0
164,Jati,PK,24.3539,68.2671,81.23,72,100,14.38,overcast clouds,0.0,0
165,Maple Creek,CA,49.9168,-109.4848,90.09,23,40,12.66,scattered clouds,0.0,0
166,Ibicui,BR,-14.8417,-39.9867,62.01,85,10,2.44,clear sky,0.0,0
167,Iisalmi,FI,63.5592,27.1907,55.42,98,41,2.04,scattered clouds,0.0,0
168,Kirakira,SB,-10.4544,161.9205,82.2,79,87,12.64,overcast clouds,0.0,0
169,Airai,TL,-8.9266,125.4092,68.0,57,15,5.08,few clouds,0.0,0
170,Namatanai,PG,-3.6667,152.4333,84.81,66,74,4.5,light rain,0.15,0
171,Pangnirtung,CA,66.1451,-65.7125,46.71,81,71,2.68,broken clouds,0.0,0
172,Severo-Kurilsk,RU,50.6789,156.125,57.67,83,24,13.76,few clouds,0.0,0
173,Bayangol,RU,50.6977,103.4656,58.77,98,100,2.13,light rain,0.46,0
174,Evensk,RU,61.95,159.2333,56.77,71,58,7.74,broken clouds,0.0,0
