City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Cidreira,BR,2021-08-13 04:08:19,-30.1811,-50.2056,56.12,82,99,7.78
167,Mar Del Plata,AR,2021-08-13 04:08:41,-38.0023,-57.5575,30.22,100,0,3.44
168,Goure,NE,2021-08-13 04:08:41,13.9835,10.2704,74.01,83,89,6.46
169,East London,ZA,2021-08-13 04:08:42,-33.0153,27.9116,55.36,65,93,9.98
170,Djibo,BF,2021-08-13 04:08:42,14.1022,-1.6306,77.56,76,100,7.99
171,San Luis,AR,2021-08-13 04:08:42,-33.295,-66.3356,46.22,43,0,8.63
172,Nome,US,2021-08-13 04:08:43,64.5011,-165.4064,51.87,54,1,5.75
173,Kamennogorsk,RU,2021-08-13 04:08:43,60.9545,29.1339,61.52,90,100,7.54
174,Homer,US,2021-08-13 04:08:41,59.6425,-151.5483,64.08,75,1,10.36
175,San Policarpo,PH,2021-08-13 04:08:44,12.1791,125.5072,85.8,62,99,3.2
176,Faya,SA,2021-08-13 04:08:45,18.3851,42.4509,66.72,38,57,1.66
177,Pavilosta,LV,2021-08-13 04:08:45,56.8879,21.1859,57.15,82,9,8.79
178,Sept-Iles,CA,2021-08-13 04:08:45,50.2001,-66.3821,65.05,97,99,4.0
179,Chuy,UY,2021-08-13 04:08:46,-33.6971,-53.4616,43.27,87,1,4.88
180,La Primavera,CO,2021-08-13 04:08:46,5.4906,-70.4092,74.73,90,88,1.81
181,Inhambane,MZ,2021-08-13 04:08:47,-23.865,35.3833,60.78,100,25,0.0
182,Nikolskoye,RU,2021-08-13 04:08:47,59.7035,30.7861,62.02,94,100,8.81
183,Harper,LR,2021-08-13 04:08:47,4.375,-7.7169,76.68,76,100,12.35
184,Cape Coast,GH,2021-08-13 04:08:47,5.1053,-1.2466,74.86,88,86,8.19
185,Arlit,NE,2021-08-13 04:08:48,18.7369,7.3853,82.02,58,36,7.25
186,Lebu,CL,2021-08-13 04:08:48,-37.6167,-73.65,45.93,83,0,3.58
187,Dunedin,NZ,2021-08-13 04:08:48,-45.8742,170.5036,52.84,64,4,2.33
188,Aklavik,CA,2021-08-13 04:08:49,68.2191,-135.0107,50.72,87,100,15.9
189,Tapes,BR,2021-08-13 04:05:21,-30.6733,-51.3958,51.37,85,99,5.75
190,Talnakh,RU,2021-08-13 04:08:49,69.4865,88.3972,55.29,57,56,7.2
191,Anloga,GH,2021-08-13 04:08:50,5.7947,0.8973,76.01,87,99,9.82
192,Jiuquan,CN,2021-08-13 04:08:50,39.7432,98.5174,86.38,18,0,10.69
193,Lusambo,CD,2021-08-13 04:08:50,-4.9667,23.45,68.32,93,28,0.89
194,Namatanai,PG,2021-08-13 04:08:51,-3.6667,152.4333,83.89,70,100,9.53
195,Chemax,MX,2021-08-13 04:08:51,20.65,-87.9333,73.85,98,88,2.86
196,Lienz,AT,2021-08-13 04:08:52,46.8289,12.769,66.7,87,82,3.85
197,Khatanga,RU,2021-08-13 04:08:52,71.9667,102.5,54.16,63,100,10.27
198,Saint-Leu,RE,2021-08-13 04:08:53,-21.15,55.2833,70.68,75,3,2.19
199,Bambous Virieux,MU,2021-08-13 04:08:53,-20.3428,57.7575,73.22,80,24,11.72
200,Hirara,JP,2021-08-13 04:08:53,24.8,125.2833,82.2,83,80,21.97
201,Mahanoro,MG,2021-08-13 04:08:54,-19.9,48.8,66.72,87,5,5.97
202,Avarua,CK,2021-08-13 04:08:54,-21.2078,-159.775,64.45,94,90,16.11
203,Xuddur,SO,2021-08-13 04:08:54,4.1213,43.8894,70.47,75,8,14.38
204,El Reten,CO,2021-08-13 04:08:55,10.6114,-74.2682,84.83,80,80,1.36
205,Mitsamiouli,KM,2021-08-13 04:08:55,-11.3847,43.2844,75.96,74,1,8.21
206,Whitecourt,CA,2021-08-13 04:08:56,54.1502,-115.6855,59.34,68,32,1.14
207,Butaritari,KI,2021-08-13 04:08:56,3.0707,172.7902,81.99,76,36,7.74
208,Verkhnevilyuysk,RU,2021-08-13 04:08:57,63.4453,120.3167,79.18,41,56,3.98
209,Hervey Bay,AU,2021-08-13 04:08:57,-25.2986,152.8535,69.76,59,0,4.97
210,Baghdad,IQ,2021-08-13 04:07:03,33.3406,44.4009,98.01,16,0,6.42
211,Flin Flon,CA,2021-08-13 04:06:04,54.7682,-101.865,47.77,63,77,2.75
212,Altagracia De Orituco,VE,2021-08-13 04:08:58,9.8601,-66.3814,70.56,97,84,3.71
213,Paragominas,BR,2021-08-13 04:08:58,-2.9667,-47.4833,71.89,99,100,3.06
214,San Andres,CO,2021-08-13 04:08:58,12.5847,-81.7006,82.42,83,75,5.75
215,Porohy,UA,2021-08-13 04:08:59,48.6876,24.2632,53.91,82,0,3.38
216,Caravelas,BR,2021-08-13 04:08:59,-17.7125,-39.2481,68.77,90,11,4.07
217,Odessa,UA,2021-08-13 04:09:00,46.4775,30.7326,64.33,72,0,8.95
218,Hofn,IS,2021-08-13 04:09:00,64.2539,-15.2082,53.13,88,100,11.12
219,Varhaug,NO,2021-08-13 04:09:01,58.6147,5.6457,58.86,85,75,7.11
220,Mehamn,NO,2021-08-13 04:09:02,71.0357,27.8492,51.98,87,75,8.05
221,Krasnoarmeysk,RU,2021-08-13 04:09:02,51.0239,45.6969,77.16,43,37,11.3
222,Pimentel,PE,2021-08-13 04:09:03,-6.8367,-79.9342,64.0,84,59,4.0
223,Pangnirtung,CA,2021-08-13 04:09:03,66.1451,-65.7125,54.25,88,100,9.17
224,Cherskiy,RU,2021-08-13 04:09:03,68.75,161.3,60.8,73,100,6.85
225,Council Bluffs,US,2021-08-13 04:07:00,41.2619,-95.8608,77.22,64,75,5.75
226,Komsomolskiy,UZ,2021-08-13 04:09:04,40.4272,71.7189,81.75,29,59,6.91
227,Banja Luka,BA,2021-08-13 04:07:18,44.7758,17.1856,60.17,63,1,3.85
228,Tarbagatay,RU,2021-08-13 04:09:05,51.4803,107.3602,72.93,50,11,6.38
229,Anadyr,RU,2021-08-13 04:09:05,64.75,177.4833,50.5,76,0,13.42
230,Vanavara,RU,2021-08-13 04:09:05,60.34,102.2797,70.68,50,100,3.0
231,Touros,BR,2021-08-13 04:09:06,-5.1989,-35.4608,70.7,82,1,11.59
232,Bodaybo,RU,2021-08-13 04:09:06,57.8506,114.1933,80.08,54,55,2.46
233,Manzhouli,CN,2021-08-13 04:09:07,49.6,117.4333,57.65,94,99,7.61
234,Agadez,NE,2021-08-13 04:09:07,19.75,10.25,80.8,56,0,7.67
235,Borogontsy,RU,2021-08-13 04:09:08,62.6683,131.1683,79.99,31,7,6.89
236,Urumqi,CN,2021-08-13 04:09:09,43.801,87.6005,74.35,44,0,6.71
237,Pervomayskiy,RU,2021-08-13 04:09:09,53.2485,40.2871,66.97,81,100,4.85
238,Riyadh,SA,2021-08-13 04:04:43,24.6877,46.7219,89.74,11,22,5.1
239,Bandarbeyla,SO,2021-08-13 04:09:10,9.4942,50.8122,76.98,77,83,22.35
240,Severo-Kurilsk,RU,2021-08-13 04:09:10,50.6789,156.125,57.69,69,1,6.46
241,Chokurdakh,RU,2021-08-13 04:09:10,70.6333,147.9167,62.96,56,92,14.88
242,Binga,ZW,2021-08-13 04:09:11,-17.6203,27.3414,58.93,58,0,0.89
243,Kamiiso,JP,2021-08-13 04:09:11,41.8167,140.65,64.87,81,100,13.53
244,Kahului,US,2021-08-13 04:09:11,20.8947,-156.47,80.62,76,20,18.41
245,Lata,PT,2021-08-13 04:09:12,40.1629,-8.3327,61.36,88,6,2.35
246,Port Lincoln,AU,2021-08-13 04:09:12,-34.7333,135.8667,60.51,64,20,12.46
247,Saint George,US,2021-08-13 04:07:02,37.1041,-113.5841,90.63,30,1,1.99
248,Pisco,PE,2021-08-13 04:05:17,-13.7,-76.2167,59.05,88,0,5.75
249,Padang,ID,2021-08-13 04:09:12,-0.9492,100.3543,84.25,66,33,3.67
250,Mabaruma,GY,2021-08-13 04:09:13,8.2,-59.7833,72.97,100,97,2.46
251,Casablanca,MA,2021-08-13 04:09:13,33.5928,-7.6192,72.75,86,11,5.08
252,Ahipara,NZ,2021-08-13 04:09:14,-35.1667,173.1667,57.06,86,88,13.02
253,Turukhansk,RU,2021-08-13 04:09:14,65.8167,87.9833,60.12,47,0,9.55
254,Xiongyue,CN,2021-08-13 04:09:14,40.1774,122.1228,77.25,62,0,13.09
255,Udachnyy,RU,2021-08-13 04:09:15,66.4167,112.4,63.32,68,100,8.97
256,Emerald,AU,2021-08-13 04:09:15,-23.5333,148.1667,79.25,31,0,10.56
257,Sioux Lookout,CA,2021-08-13 04:09:16,50.1001,-91.917,51.8,80,100,9.46
258,Marzuq,YE,2021-08-13 04:09:16,14.4,46.4667,79.99,41,16,5.1
259,Hovd,MN,2021-08-13 04:09:17,48.0056,91.6419,73.83,29,96,4.68
260,Santa Isabel Do Rio Negro,BR,2021-08-13 04:09:17,-0.4139,-65.0192,73.87,97,100,3.04
261,Rutul,RU,2021-08-13 04:09:18,41.5357,47.4239,72.16,43,12,2.44
262,Soderhamn,SE,2021-08-13 04:09:19,61.3037,17.0592,57.49,81,44,5.35
263,Thompson,CA,2021-08-13 04:09:19,55.7435,-97.8558,46.17,66,100,9.91
264,Acari,PE,2021-08-13 04:09:20,-15.4311,-74.6158,64.29,74,37,4.45
265,Virginia Beach,US,2021-08-13 04:05:33,36.8529,-75.978,85.1,78,1,9.22
266,Cap Malheureux,MU,2021-08-13 04:09:20,-19.9842,57.6142,73.47,80,9,7.0
267,Narsaq,GL,2021-08-13 04:09:21,60.9167,-46.05,48.42,77,76,1.86
268,Kaeo,NZ,2021-08-13 04:09:21,-35.1,173.7833,59.32,91,99,9.01
269,Mutsu,JP,2021-08-13 04:09:22,41.2894,141.2169,63.81,84,100,12.86
270,Hasaki,JP,2021-08-13 04:09:22,35.7333,140.8333,72.0,93,100,7.0
271,Vestmanna,FO,2021-08-13 04:09:23,62.1564,-7.1664,50.92,100,75,9.22
272,Sulangan,PH,2021-08-13 04:09:23,11.1373,123.7228,83.91,69,11,2.86
273,Champerico,GT,2021-08-13 04:09:24,14.3,-91.9167,82.35,75,69,2.15
274,Chivay,PE,2021-08-13 04:09:24,-15.6383,-71.6011,43.02,48,17,3.96
275,Batemans Bay,AU,2021-08-13 04:09:25,-35.7167,150.1833,68.2,47,0,6.55
