City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
94,tasiilaq,GL,2021-08-15 19:21:04,65.6145,-37.6368,50.77,69,81,11.14,broken clouds,0.0,0
95,seoul,KR,2021-08-15 19:20:13,37.5683,126.9778,76.57,65,20,9.22,few clouds,0.0,0
96,baruun-urt,MN,2021-08-15 19:21:04,46.6806,113.2792,56.55,88,0,3.24,clear sky,0.0,0
97,guerrero,MX,2021-08-15 19:21:05,17.6667,-100.0,77.13,79,56,3.04,broken clouds,0.0,0
98,mujiayingzi,CN,2021-08-15 19:21:05,42.1167,118.7833,62.47,95,100,2.37,overcast clouds,0.0,0
99,aloleng,PH,2021-08-15 19:21:05,16.1307,119.7824,79.12,84,99,4.7,overcast clouds,0.0,0
100,victoria,HK,2021-08-15 19:16:49,22.2855,114.1577,81.97,87,100,6.4,overcast clouds,0.0,0
101,ranong,TH,2021-08-15 19:21:06,9.9658,98.6348,76.57,87,100,4.83,overcast clouds,0.0,0
102,scarborough,GB,2021-08-15 19:17:28,54.2797,-0.4044,64.53,90,91,1.74,overcast clouds,0.0,0
103,papara,BR,2021-08-15 19:21:06,-3.9839,-38.7273,81.0,43,41,9.35,scattered clouds,0.0,0
104,bar harbor,US,2021-08-15 19:21:07,44.3876,-68.2039,79.93,48,1,11.99,clear sky,0.0,0
105,lagoa,PT,2021-08-15 19:21:07,39.05,-27.9833,71.2,77,99,6.91,overcast clouds,0.0,0
106,tariba,VE,2021-08-15 19:21:07,7.8188,-72.2243,81.16,60,40,5.08,scattered clouds,0.0,0
107,ambilobe,MG,2021-08-15 19:21:07,-13.2,49.05,71.08,75,12,3.6,few clouds,0.0,0
108,vanavara,RU,2021-08-15 19:21:08,60.34,102.2797,51.6,97,20,3.85,few clouds,0.0,0
109,san policarpo,PH,2021-08-15 19:21:08,12.1791,125.5072,80.65,79,100,3.96,overcast clouds,0.0,0
110,golden,US,2021-08-15 19:21:08,39.7555,-105.2211,92.44,28,75,5.99,broken clouds,0.0,0
111,kaitangata,NZ,2021-08-15 19:21:09,-46.2817,169.8464,42.28,85,100,6.46,overcast clouds,0.0,0
112,saint-joseph,RE,2021-08-15 19:21:09,-21.3667,55.6167,64.76,77,64,13.31,broken clouds,0.0,0
113,sulangan,PH,2021-08-15 19:21:09,11.1373,123.7228,83.08,74,95,5.79,overcast clouds,0.0,0
114,dikson,RU,2021-08-15 19:21:10,73.5069,80.5464,44.91,100,100,11.92,light rain,0.0,0
115,matamoros,MX,2021-08-15 19:21:10,25.5333,-103.25,89.71,35,40,0.0,scattered clouds,0.0,0
116,veinticinco de mayo,AR,2021-08-15 19:21:10,-35.4323,-60.1727,63.05,47,0,6.4,clear sky,0.0,0
117,bredasdorp,ZA,2021-08-15 19:21:11,-34.5322,20.0403,50.29,87,88,1.45,overcast clouds,0.0,0
118,rapid valley,US,2021-08-15 19:21:11,44.0625,-103.1463,96.57,19,1,5.75,clear sky,0.0,0
119,juneau,US,2021-08-15 19:21:12,58.3019,-134.4197,57.25,89,75,8.05,light rain,0.0,0
120,saskylakh,RU,2021-08-15 19:21:12,71.9167,114.0833,45.16,74,56,7.43,broken clouds,0.0,0
121,dwarka,IN,2021-08-15 19:21:12,22.2394,68.9678,81.55,78,98,16.42,overcast clouds,0.0,0
122,kahului,US,2021-08-15 19:21:12,20.8947,-156.47,79.97,76,40,18.41,light rain,0.0,0
